,available,price,minimum_nights,maximum_nights,room_type,accomodates,bedrooms,beds,total_reviews,days_since_review,comment_length,days_since_joined,host_location_country,property_type_kind,no_of_bath,type_of_bath,number_of_amneties
1002,1.0,160.0,1.0,1125.0,Hotel room,2.0,1.0,1.0,4.0,321.75,238.0,2406,Belgium,Private,1.0,Public,8
1003,1.0,150.0,1.0,1125.0,Private room,2.0,1.0,1.0,3.0,240.66666666666663,55.333333333333336,2406,Belgium,Private,1.0,Private,8
1004,1.0,150.0,1.0,1125.0,Private room,2.0,1.0,1.0,0.0,2720.1323529411766,0.0,2406,Belgium,Private,1.0,Private,7
1005,1.0,72.0,4.0,1125.0,Entire home/apt,2.0,1.0,1.0,25.0,529.52,167.92,955,Belgium,Entire,1.0,Private,24
1006,0.0,120.0,1.0,1125.0,Entire home/apt,2.0,1.0,1.0,27.0,690.1851851851852,189.6296296296296,2931,Belgium,Entire,1.0,Private,26
1007,0.0,65.0,1.0,1125.0,Entire home/apt,2.0,1.0,1.0,5.0,812.8,301.8,3112,Belgium,Entire,1.0,Private,20
1008,0.0,53.0,1.0,1125.0,Entire home/apt,2.0,1.0,1.0,117.0,545.8376068376068,184.43589743589743,1989,Belgium,Entire,1.0,Private,21
1009,0.0,40.0,1.0,1125.0,Entire home/apt,2.0,1.0,1.0,36.0,239.88888888888889,214.8333333333333,1989,Belgium,Entire,1.0,Private,25
1010,0.0,69.33333333333333,2.0,1125.0,Entire home/apt,2.0,1.0,1.0,73.0,428.8082191780822,190.84931506849315,2111,United Kingdom,Entire,1.5,Private,17
1011,1.0,55.0,3.0,1125.0,Entire home/apt,2.0,1.0,2.0,5.0,697.2,124.6,948,Belgium,Entire,1.0,Private,23
1012,0.0,95.0,2.0,1125.0,Entire home/apt,2.0,1.0,1.0,14.0,341.42857142857144,272.7142857142857,2919,Belgium,Entire,1.0,Private,14
1013,1.0,67.33333333333333,2.0,1125.0,Entire home/apt,2.0,1.0,1.0,70.0,579.9142857142857,190.88571428571427,1044,Belgium,Entire,1.0,Private,25
1014,0.0,45.0,1.0,1125.0,Private room,2.0,1.0,1.0,29.0,590.9655172413793,255.0,938,Belgium,Private,1.0,Public,18
1015,0.0,110.0,1.0,1125.0,Entire home/apt,12.0,2.0,6.0,14.0,764.6428571428571,150.35714285714286,2673,Belgium,Entire,1.0,Private,41
1016,0.0,60.0,1.3333333333333333,1125.0,Entire home/apt,3.0,1.0,2.0,78.0,735.7435897435897,133.6153846153846,1998, North Macedonia,Entire,1.0,Private,21
1017,0.0,85.0,1.0,365.0,Entire home/apt,2.0,1.0,2.0,38.0,228.73684210526315,135.8421052631579,1998, North Macedonia,Entire,1.0,Private,8
1018,1.0,126.0,1.0,1125.0,Entire home/apt,6.0,2.0,2.0,6.0,626.3333333333334,91.16666666666669,1043,Belgium,Entire,1.0,Private,42
1019,0.0,110.33333333333331,1.0,1125.0,Entire home/apt,5.0,2.0,3.0,16.0,595.875,234.4375,1043,Belgium,Entire,1.0,Private,43
1020,1.0,89.0,1.0,1125.0,Entire home/apt,4.0,1.0,1.0,8.0,457.625,257.25,1043,Belgium,Entire,1.5,Private,39
1021,0.0,55.0,4.0,1125.0,Entire home/apt,2.0,1.0,1.0,31.0,500.0,197.03225806451613,2669,Belgium,Entire,1.5,Private,27
1022,1.0,110.0,2.0,1125.0,Entire home/apt,3.0,1.0,1.0,5.0,223.0,195.8,2086,Netherlands,Entire,1.0,Private,44
1023,1.0,80.0,2.0,1125.0,Entire home/apt,4.0,2.0,4.0,11.0,732.3636363636364,244.8181818181818,930,Belgium,Entire,2.0,Private,44
1024,0.0,90.0,2.0,21.0,Entire home/apt,4.0,2.0,2.0,7.0,497.8571428571428,222.1428571428572,2256,Belgium,Entire,1.5,Private,19
1025,0.0,135.0,3.0,28.0,Entire home/apt,4.0,2.0,2.0,18.0,298.55555555555554,300.55555555555554,1533,Belgium,Entire,2.0,Private,28
1026,0.0,222.3333333333333,1.0,1125.0,Entire home/apt,8.0,1.0,3.0,25.0,545.48,115.04,925,Belgium,Entire,1.0,Private,13
1027,0.0,20.0,5.0,1125.0,Private room,2.0,1.0,1.0,11.0,511.7272727272728,164.72727272727272,925,Belgium,Private,1.0,Private,13
1028,0.0,69.0,1.0,1125.0,Entire home/apt,2.0,1.0,1.0,63.0,463.936507936508,159.22222222222223,1743,Belgium,Entire,1.5,Private,20
1029,0.0,65.0,1.0,1125.0,Entire home/apt,2.0,1.0,1.0,17.0,606.1176470588235,137.52941176470588,920,Belgium,Entire,1.5,Private,20
1030,1.0,246.66666666666663,1.0,1125.0,Entire home/apt,8.0,2.0,8.0,31.0,677.2258064516129,108.64516129032258,1817,Belgium,Entire,1.5,Private,18
1031,1.0,240.0,1.0,1125.0,Entire home/apt,10.0,2.0,7.0,30.0,592.5,121.86666666666666,1817,Belgium,Entire,2.0,Private,17
1032,1.0,401.6666666666667,1.0,1125.0,Entire home/apt,8.0,2.0,5.0,13.0,665.5384615384615,120.84615384615384,1817,Belgium,Entire,1.5,Private,18
1033,1.0,243.3333333333333,1.0,1125.0,Entire home/apt,8.0,2.0,5.0,23.0,550.5652173913044,119.6086956521739,1817,Belgium,Entire,1.5,Private,22
1034,1.0,104.0,1.0,1125.0,Entire home/apt,7.0,3.0,4.0,19.0,467.7894736842105,119.42105263157896,1817,Belgium,Entire,1.0,Private,20
1035,0.0,59.0,1.0,1125.0,Entire home/apt,2.0,1.0,1.0,5.0,424.0,155.4,3728,Belgium,Entire,1.0,Private,15
1036,0.0,160.0,2.0,1125.0,Entire home/apt,4.0,2.0,3.0,3.0,398.3333333333333,134.33333333333334,914,Belgium,Entire,1.0,Private,13
1037,0.0,160.0,1.0,1125.0,Entire home/apt,4.0,2.0,2.0,2.0,628.0,331.0,914,Belgium,Entire,1.0,Private,13
1038,0.0,520.0,1.0,99.0,Private room,2.0,1.0,1.0,4.0,474.25,115.0,1013,Belgium,Private,0.0,Public,35
1039,0.0,62.0,5.0,1125.0,Entire home/apt,2.0,1.0,1.0,5.0,388.4,210.4,949,Belgium,Entire,1.0,Private,36
